primary_employer_name,alias_name,alias_type,usage_count
COLORADO SEMINARY,UNIVERSITY OF DENVER,TRADE_NAME_DBA,25
"VOLKSWAGEN GROUP OF AMERICA, INC",VOLKSWAGEN OF AMERICA,TRADE_NAME_DBA,25
COOK COUNTY HEALTH,JOHN H STROGER HOSPITAL OF COOK COUNTY,TRADE_NAME_DBA,25
DELART TECHNOLOGY SERVICES LLC,DELART TECH,TRADE_NAME_DBA,25
FRIDLEY PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 14,FRIDLEY PUBLIC SCHOOLS,TRADE_NAME_DBA,25
THE WISTAR INSTITUTE OF ANATOMY AND BIOLOGY,THE WISTAR INSTITUTE,TRADE_NAME_DBA,24
CAMBRIDGE PUBLIC HEALTH COMMISSION,CAMBRIDGE HEALTH ALLIANCE,TRADE_NAME_DBA,24
"INSPIRE RESOURCES, LLC",INSPIRE BRANDS,TRADE_NAME_DBA,24
VIRGINIA ELECTRIC AND POWER COMPANY,DOMINION ENERGY VIRGINIA,TRADE_NAME_DBA,24
"ACADEMY, LTD",ACADEMY SPORTS + OUTDOORS,TRADE_NAME_DBA,24
RXADVANCE CORPORATION,NIRVANAHEALTH,TRADE_NAME_DBA,24
"GLOBAL IT INVESTORS, INC",TECHNOVAL ALLIANCE,TRADE_NAME_DBA,24
LIFESPAN PHYSICIAN GROUP INC,BROWN HEALTH MEDICAL GROUP,TRADE_NAME_DBA,24
ARC RESEARCH INSTITUTE,ARC INSTITUTE,TRADE_NAME_DBA,24
STRYDER CORPORATION,HANDSHAKE,TRADE_NAME_DBA,24
"ENTELLECTS CORPORATION, INC",BEE DATA TECHNOLOGY,TRADE_NAME_DBA,24
"FEI.COM, INC",FEI SYSTEMS,TRADE_NAME_DBA,24
"MUSARUBRA US, LLC",TRELLIX,TRADE_NAME_DBA,24
"SVANACO, INC",AMERICANEAGLE.COM,TRADE_NAME_DBA,24
"CALIFORNIA STATE UNIVERSITY, FULLERTON",NOT APPLICABLE,TRADE_NAME_DBA,24
"MICROSTRATEGY, INC",STRATEGY,TRADE_NAME_DBA,24
LASAI TECHNOLOGIES LLC DBA DIGITECH LABS,DIGITECH LABS,TRADE_NAME_DBA,24
"W/H/I/P SYSTEMS, LLC",AROGHIA GROUP LLC,TRADE_NAME_DBA,23
"RBUS, INC","RBUS, INC, A RED VENTURES COMPANY",TRADE_NAME_DBA,23
"THEMATHCOMPANY, INC",MATHCO,TRADE_NAME_DBA,23
"FLORIDA HOSPITAL HEALTHCARE PARTNERS, INC",ADVENTHEALTH MEDICAL GROUP - EAST FLORIDA,TRADE_NAME_DBA,23
NIELSEN CONSUMER LLC,NIELSENIQ,TRADE_NAME_DBA,23
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NYC HEALTH + HOSPITALS,TRADE_NAME_DBA,23
"EBATES PERFORMANCE MARKETING, INC",RAKUTEN REWARDS,TRADE_NAME_DBA,23
EXCEL ASSOCIATES LLC,EXCEL-IT,TRADE_NAME_DBA,23
"PINTEGRA, LLC",CLOUDTECHYS,TRADE_NAME_DBA,23
THE UNIVERSITY OF TENNESSEE,THE UNIVERSITY OF TENNESSEE AT CHATTANOOGA,TRADE_NAME_DBA,23
NEIMAN MARCUS GROUP LLC,NEIMAN MARCUS,TRADE_NAME_DBA,23
UNMC PHYSICIANS,NEBRASKA MEDICINE,TRADE_NAME_DBA,23
COMANCHE COUNTY HOSPITAL AUTHORITY,COMANCHE COUNTY MEMORIAL HOSPITAL,TRADE_NAME_DBA,23
SUPER TECH CONSULTING LLC,SHRAS IT SOLUTIONS,TRADE_NAME_DBA,23
HEXACORP LLC,N / A,TRADE_NAME_DBA,23
TIGERMED-BDM INC,BDM CONSULTING INC,TRADE_NAME_DBA,23
HOLOCENE ACQUISITION II LLC,ACTION BEHAVIOR CENTERS LLC,TRADE_NAME_DBA,23
NATIONAL FINANCIAL SERVICES LLC D/B/A FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,TRADE_NAME_DBA,23
JPMORGAN CHASE & CO,OPERATING NAME OF BUSINESS,TRADE_NAME_DBA,23
LOCAL INITIATIVE HEALTH AUTHORITY FOR LOS ANGELES COUNTY,L.A CARE HEALTH PLAN,TRADE_NAME_DBA,22
"CUMBERLAND COUNTY HOSPITAL SYSTEM, INC",CAPE FEAR VALLEY HEALTH SYSTEM,TRADE_NAME_DBA,22
"UOFL HEALTH - LOUISVILLE, INC",UOFL HEALTH - JEWISH HOSPITAL,TRADE_NAME_DBA,22
MINISOFT TECHNOLOGIES LLC,N / A,TRADE_NAME_DBA,22
IOWA PHYSICIANS CLINIC MEDICAL FOUNDATION,UNITYPOINT CLINIC,TRADE_NAME_DBA,22
"OBJECTS ON NET, INC",OONET,TRADE_NAME_DBA,22
"GHAZAL, RODGERS, AND WATANABE DENTAL CORPORATION",NETWORK OF CALIFORNIA DENTAL PROFESSIONALS,TRADE_NAME_DBA,22
"ADI WORLDLINK, LLC",WORLDLINK,TRADE_NAME_DBA,22
"FLEXTON, INC",NOT APPLICABLE,TRADE_NAME_DBA,22
